City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
245,Avanigadda,IN,16.0215,80.9181,95.34,37,13,12.15,few clouds
246,Matamoros,MX,25.5333,-103.25,71.96,19,100,6.55,overcast clouds
247,Inuvik,CA,68.3499,-133.7218,-13.94,70,40,4.61,light snow
248,Tehri,IN,30.3833,78.4833,94.62,7,79,6.91,broken clouds
249,Troitsko-Pechorsk,RU,62.7084,56.1964,21.65,91,100,11.97,light snow
250,Twentynine Palms,US,34.1356,-116.0542,69.96,23,0,3.0,clear sky
251,Esperance,AU,-33.8667,121.9,64.24,66,91,13.04,overcast clouds
252,Udachnyy,RU,66.4167,112.4,14.45,56,100,6.71,overcast clouds
253,Kamarion,GR,36.8,25.8167,65.08,83,100,16.4,overcast clouds
254,Todos Santos,MX,23.45,-110.2167,58.44,83,13,5.77,few clouds
255,Muyezerskiy,RU,63.9333,31.65,30.88,90,100,14.43,overcast clouds
256,Port Augusta,AU,-32.5,137.7667,74.32,37,100,18.63,light rain
257,Kudahuvadhoo,MV,2.6708,72.8944,83.75,60,4,2.73,clear sky
258,Tela,HN,15.7833,-87.45,74.7,88,38,6.96,scattered clouds
259,Goderich,CA,43.7501,-81.7165,39.9,87,100,9.22,overcast clouds
260,Hamilton,US,39.1834,-84.5333,46.99,89,0,0.0,clear sky
261,Victoria,HK,22.2855,114.1577,77.05,63,32,7.87,scattered clouds
262,Marsaxlokk,MT,35.8419,14.5431,60.08,77,40,18.41,scattered clouds
263,Maxixe,MZ,-23.8597,35.3472,85.82,84,40,11.5,scattered clouds
264,Curuca,BR,-0.7289,-47.8481,74.14,96,100,1.92,overcast clouds
265,Puerto Madero,MX,14.7208,-92.4215,79.0,94,20,0.0,few clouds
266,Oshakati,NA,-17.7833,15.6833,82.42,48,10,6.55,clear sky
267,Sidrolandia,BR,-20.9319,-54.9614,70.07,88,38,4.47,scattered clouds
268,Haradok,BY,55.4624,29.9816,33.91,86,100,20.76,light snow
269,Matadi,CD,-5.8167,13.45,77.4,90,99,2.75,overcast clouds
270,Camacha,PT,33.0833,-16.3333,54.82,54,40,19.57,scattered clouds
271,Cap Malheureux,MU,-19.9842,57.6142,81.46,82,89,11.01,overcast clouds
272,Kaitangata,NZ,-46.2817,169.8464,58.62,96,91,4.36,overcast clouds
273,Bojnurd,IR,37.4747,57.329,58.95,55,75,4.61,broken clouds
274,Batagay-Alyta,RU,67.8006,130.4114,7.83,90,100,3.18,overcast clouds
275,Evensk,RU,61.95,159.2333,15.71,85,100,7.92,overcast clouds
276,Biak,ID,-0.9131,122.8766,80.22,80,65,3.6,heavy intensity rain
277,Fiumicino,IT,41.7675,12.2291,58.78,66,0,8.05,clear sky
278,Kalabo,ZM,-14.97,22.6814,76.64,68,86,3.53,overcast clouds
279,Oistins,BB,13.0667,-59.5333,77.09,78,40,18.41,scattered clouds
280,Ipixuna,BR,-1.7625,-48.8043,73.38,98,100,1.97,overcast clouds
281,Puerto Guzman,CO,0.9703,-76.5858,69.96,98,98,2.19,overcast clouds
282,Muros,ES,42.7762,-9.0603,48.09,55,10,12.66,clear sky
283,Robertsport,LR,6.7533,-11.3686,78.87,81,90,4.29,overcast clouds
284,Ovalle,CL,-30.5983,-71.2003,64.31,55,0,1.57,clear sky
285,Quatre Cocos,MU,-20.2078,57.7625,80.1,75,99,9.82,light rain
286,Flinders,AU,-34.5833,150.8552,71.19,85,67,3.0,broken clouds
287,Hovd,MN,48.0056,91.6419,57.78,20,0,5.93,clear sky
288,Ajdabiya,LY,30.7554,20.2263,90.95,8,53,15.95,broken clouds
289,Penzance,GB,50.1186,-5.5371,52.48,93,40,13.8,scattered clouds
290,Stege,DK,54.987,12.2846,44.06,63,42,23.44,scattered clouds
291,Alice Springs,AU,-23.7,133.8833,92.75,10,0,8.05,clear sky
292,Souillac,MU,-20.5167,57.5167,75.58,100,75,5.75,shower rain
293,Hermanus,ZA,-34.4187,19.2345,67.8,77,64,19.6,light rain
294,Adjumani,UG,3.3779,31.7909,90.66,40,2,1.61,clear sky
295,Rundu,NA,-17.9333,19.7667,76.39,65,44,2.55,scattered clouds
296,Riyadh,SA,24.6877,46.7219,95.14,7,7,4.23,clear sky
297,Ca Mau,VN,9.1769,105.15,88.0,57,81,14.27,broken clouds
298,Aleksandrov Gay,RU,50.147,48.5704,42.28,53,100,12.82,overcast clouds
299,Ponta Do Sol,PT,32.6667,-17.1,57.83,74,55,9.62,broken clouds
300,Kainantu,PG,-6.2887,145.8655,64.44,94,96,3.8,overcast clouds
301,Torbat-E Jam,IR,35.244,60.6225,84.74,11,90,12.8,overcast clouds
302,Anchorage,US,61.2181,-149.9003,34.68,91,100,3.44,overcast clouds
303,Byron Bay,AU,-28.65,153.6167,72.95,82,23,6.17,few clouds
304,Espita,MX,21.0167,-88.3167,73.4,88,0,7.07,clear sky
305,Clyde River,CA,70.4692,-68.5914,-5.57,84,0,3.44,clear sky
306,Jeremie,HT,18.65,-74.1167,76.51,81,23,1.43,few clouds
